# Configuration
#	Username: nritchie
#	Timestamp: 2025-09-17 15:05:54.682652500 -04:00
#	Application: spex v0.0.110
#	References: `N132962 20 keV` revision 365 - 2025-09-15 15:44:22 -04:00
#
# Configuration Warnings
#	None
#
# Spectrum
#	SPI MM1 Almandine[0][all]['SPI MM1 Almandine[0][4].msa']
#
# Fit Warnings
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02654 ± 0.00052' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Almandine[1][all],O,8,15.999,0.42065,0.03227,0.41384,0.01861,0.59553,0.01848
SPI MM1 Almandine[1][all],Mg,12,24.305,0.06049,0.00033,0.05951,0.00191,0.05637,0.00259
SPI MM1 Almandine[1][all],Al,13,26.9815384,0.11796,0.00048,0.11605,0.00371,0.09903,0.00454
SPI MM1 Almandine[1][all],Si,14,28.085,0.18645,0.00061,0.18343,0.00584,0.15037,0.00688
SPI MM1 Almandine[1][all],Ca,20,40.078,0.03143,0.00005,0.03092,0.00098,0.01776,0.00081
SPI MM1 Almandine[1][all],Ti,22,47.867,0.00006,0.00002,0.00006,0.00002,0.00003,0.00001
SPI MM1 Almandine[1][all],Mn,25,54.938043,0.00512,0.00004,0.00504,0.00016,0.00211,0.00010
SPI MM1 Almandine[1][all],Fe,26,55.845,0.19428,0.00012,0.19114,0.00607,0.07880,0.00360
# Notes
#	Analytical total: 1.016 ± 0.032
#	Residual written to SPI MM1 Almandine[1][4][residual].msa.
#
# Spectrum
#	SPI MM1 Almandine[2][all]['SPI MM1 Almandine[2][4].msa']
#
# Fit Warnings
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02813 ± 0.00052' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Almandine[2][all],O,8,15.999,0.42098,0.03231,0.41469,0.01863,0.59598,0.01848
SPI MM1 Almandine[2][all],Mg,12,24.305,0.06088,0.00033,0.05997,0.00193,0.05674,0.00261
SPI MM1 Almandine[2][all],Al,13,26.9815384,0.11758,0.00048,0.11582,0.00371,0.09870,0.00453
SPI MM1 Almandine[2][all],Si,14,28.085,0.18691,0.00060,0.18412,0.00588,0.15074,0.00691
SPI MM1 Almandine[2][all],Ca,20,40.078,0.03133,0.00005,0.03087,0.00098,0.01771,0.00081
SPI MM1 Almandine[2][all],Ti,22,47.867,0.00016,0.00002,0.00016,0.00002,0.00007,0.00001
SPI MM1 Almandine[2][all],Mn,25,54.938043,0.00506,0.00004,0.00499,0.00016,0.00209,0.00010
SPI MM1 Almandine[2][all],Fe,26,55.845,0.19225,0.00012,0.18938,0.00603,0.07798,0.00357
# Notes
#	Analytical total: 1.015 ± 0.032
#	Residual written to SPI MM1 Almandine[2][4][residual].msa.
#
# Spectrum
#	SPI MM1 Almandine[3][all]['SPI MM1 Almandine[3][4].msa']
#
# Fit Warnings
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02695 ± 0.00052' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Almandine[3][all],O,8,15.999,0.42106,0.03232,0.41473,0.01863,0.59605,0.01848
SPI MM1 Almandine[3][all],Mg,12,24.305,0.06094,0.00033,0.06002,0.00194,0.05679,0.00261
SPI MM1 Almandine[3][all],Al,13,26.9815384,0.11753,0.00048,0.11577,0.00371,0.09866,0.00453
SPI MM1 Almandine[3][all],Si,14,28.085,0.18669,0.00060,0.18389,0.00587,0.15055,0.00690
SPI MM1 Almandine[3][all],Ca,20,40.078,0.03154,0.00005,0.03107,0.00099,0.01782,0.00082
SPI MM1 Almandine[3][all],Ti,22,47.867,0.00010,0.00002,0.00010,0.00002,0.00005,0.00001
SPI MM1 Almandine[3][all],Mn,25,54.938043,0.00522,0.00004,0.00515,0.00017,0.00215,0.00010
SPI MM1 Almandine[3][all],Fe,26,55.845,0.19217,0.00012,0.18928,0.00603,0.07794,0.00357
# Notes
#	Analytical total: 1.015 ± 0.032
#	Residual written to SPI MM1 Almandine[3][4][residual].msa.
#
# Spectrum
#	SPI MM1 Almandine[4][all]['SPI MM1 Almandine[4][4].msa']
#
# Fit Warnings
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02814 ± 0.00052' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Almandine[4][all],O,8,15.999,0.42165,0.03237,0.41463,0.01864,0.59601,0.01849
SPI MM1 Almandine[4][all],Mg,12,24.305,0.06086,0.00033,0.05985,0.00193,0.05663,0.00261
SPI MM1 Almandine[4][all],Al,13,26.9815384,0.11769,0.00048,0.11573,0.00371,0.09865,0.00453
SPI MM1 Almandine[4][all],Si,14,28.085,0.18703,0.00061,0.18392,0.00588,0.15060,0.00690
SPI MM1 Almandine[4][all],Ca,20,40.078,0.03168,0.00005,0.03115,0.00099,0.01787,0.00082
SPI MM1 Almandine[4][all],Ti,22,47.867,0.00021,0.00002,0.00021,0.00003,0.00010,0.00001
SPI MM1 Almandine[4][all],Mn,25,54.938043,0.00513,0.00004,0.00504,0.00016,0.00211,0.00010
SPI MM1 Almandine[4][all],Fe,26,55.845,0.19267,0.00012,0.18947,0.00603,0.07802,0.00357
# Notes
#	Analytical total: 1.017 ± 0.032
#	Residual written to SPI MM1 Almandine[4][4][residual].msa.
#
# Spectrum
#	SPI MM1 Almandine[5][all]['SPI MM1 Almandine[5][4].msa']
#
# Fit Warnings
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02994 ± 0.00052' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Almandine[5][all],O,8,15.999,0.41987,0.03220,0.41424,0.01861,0.59558,0.01848
SPI MM1 Almandine[5][all],Mg,12,24.305,0.06079,0.00033,0.05997,0.00193,0.05676,0.00261
SPI MM1 Almandine[5][all],Al,13,26.9815384,0.11762,0.00048,0.11605,0.00371,0.09893,0.00453
SPI MM1 Almandine[5][all],Si,14,28.085,0.18648,0.00060,0.18398,0.00587,0.15069,0.00690
SPI MM1 Almandine[5][all],Ca,20,40.078,0.03129,0.00005,0.03087,0.00098,0.01772,0.00081
SPI MM1 Almandine[5][all],Ti,22,47.867,0.00008,0.00002,0.00008,0.00002,0.00004,0.00001
SPI MM1 Almandine[5][all],Mn,25,54.938043,0.00498,0.00004,0.00491,0.00016,0.00206,0.00010
SPI MM1 Almandine[5][all],Fe,26,55.845,0.19249,0.00012,0.18991,0.00604,0.07823,0.00357
# Notes
#	Analytical total: 1.014 ± 0.032
#	Residual written to SPI MM1 Almandine[5][4][residual].msa.
#
# Spectrum
#	SPI MM1 Almandine[6][all]['SPI MM1 Almandine[6][4].msa']
#
# Fit Warnings
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02769 ± 0.00052' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Almandine[6][all],O,8,15.999,0.42086,0.03229,0.41466,0.01863,0.59599,0.01848
SPI MM1 Almandine[6][all],Mg,12,24.305,0.06077,0.00033,0.05987,0.00193,0.05665,0.00261
SPI MM1 Almandine[6][all],Al,13,26.9815384,0.11763,0.00048,0.11590,0.00371,0.09878,0.00453
SPI MM1 Almandine[6][all],Si,14,28.085,0.18674,0.00060,0.18399,0.00588,0.15065,0.00690
SPI MM1 Almandine[6][all],Ca,20,40.078,0.03135,0.00005,0.03089,0.00098,0.01772,0.00081
SPI MM1 Almandine[6][all],Ti,22,47.867,0.00014,0.00002,0.00014,0.00002,0.00007,0.00001
SPI MM1 Almandine[6][all],Mn,25,54.938043,0.00484,0.00004,0.00477,0.00016,0.00200,0.00009
SPI MM1 Almandine[6][all],Fe,26,55.845,0.19263,0.00012,0.18979,0.00604,0.07815,0.00357
# Notes
#	Analytical total: 1.015 ± 0.032
#	Residual written to SPI MM1 Almandine[6][4][residual].msa.
#
# Spectrum
#	SPI MM1 Almandine[7][all]['SPI MM1 Almandine[7][4].msa']
#
# Fit Warnings
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02957 ± 0.00052' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
SPI MM1 Almandine[7][all],O,8,15.999,0.42057,0.03229,0.41397,0.01863,0.59536,0.01850
SPI MM1 Almandine[7][all],Mg,12,24.305,0.06090,0.00033,0.05994,0.00193,0.05674,0.00261
SPI MM1 Almandine[7][all],Al,13,26.9815384,0.11774,0.00048,0.11589,0.00371,0.09883,0.00453
SPI MM1 Almandine[7][all],Si,14,28.085,0.18714,0.00061,0.18420,0.00587,0.15091,0.00691
SPI MM1 Almandine[7][all],Ca,20,40.078,0.03140,0.00005,0.03091,0.00098,0.01774,0.00081
SPI MM1 Almandine[7][all],Ti,22,47.867,0.00002,0.00002,0.00002,0.00002,0.00001,0.00001
SPI MM1 Almandine[7][all],Mn,25,54.938043,0.00512,0.00004,0.00504,0.00016,0.00211,0.00010
SPI MM1 Almandine[7][all],Fe,26,55.845,0.19307,0.00012,0.19003,0.00604,0.07830,0.00358
# Notes
#	Analytical total: 1.016 ± 0.032
#	Residual written to SPI MM1 Almandine[7][4][residual].msa.
#
# Spectrum
#	Sum[8 spectra]['Sum spectrum']
#
# Fit Warnings
#	The k-ratio '[Mn L₃-M₅ + 13 others] = -0.02845 ± 0.00018' is more than 3σ negative.
#
#
# Quantification results:
Name,Element,Z,A,C[z],U[C[z]],N[z]],U[N[z]],A[z],U[A[z]]
Sum[8 spectra],O,8,15.999,0.42087,0.03230,0.41446,0.01863,0.59583,0.01848
Sum[8 spectra],Mg,12,24.305,0.06084,0.00033,0.05991,0.00193,0.05670,0.00261
Sum[8 spectra],Al,13,26.9815384,0.11766,0.00047,0.11587,0.00371,0.09877,0.00453
Sum[8 spectra],Si,14,28.085,0.18680,0.00060,0.18395,0.00587,0.15065,0.00690
Sum[8 spectra],Ca,20,40.078,0.03142,0.00003,0.03094,0.00098,0.01776,0.00081
Sum[8 spectra],Ti,22,47.867,0.00011,0.00001,0.00011,0.00001,0.00005,0.00000
Sum[8 spectra],Mn,25,54.938043,0.00506,0.00001,0.00498,0.00016,0.00209,0.00010
Sum[8 spectra],Fe,26,55.845,0.19270,0.00007,0.18976,0.00604,0.07816,0.00357
# Notes
#	Analytical total: 1.015 ± 0.032
#
